ligand_gene,receptor_gene,ligand_cell_type,receptor_cell_type,correlation
IGFBP4,TMSB4X,Pericyte,Endothelial,0.543103163
IGFBP5,LMNA,Ductal,permCAF,0.484368442
IGFBP5,LMNA,permCAF,Ductal,0.437420921
IGFBP5,LMNA,restCAF,permCAF,0.487864897
IGFBP5,MCL1,Ductal,permCAF,0.43854675
IGFBP5,MCL1,Pericyte,Endothelial,0.414144679
IGFBP5,MT-CYB,Pericyte,Endothelial,0.434917089
IGFBP5,MT-CYB,permCAF,Ductal,0.644946531
IGFBP5,MT-CYB,restCAF,Ductal,0.471616388
IGFBP5,MT-ND4L,Pericyte,Endothelial,0.425383997
IGFBP5,MT-ND4L,permCAF,Ductal,0.440326333
IGFBP5,S100A6,permCAF,restCAF,0.459920265
IGFBP5,SERPINE1,permCAF,Ductal,0.611464725
IGFBP5,SERPINE1,restCAF,Ductal,0.541325619
IGFBP5,SERPINE1,restCAF,Endothelial,0.557167401
IGFBP5,SERPINE1,restCAF,permCAF,0.47202443
IGFBP5,SFRP4,Ductal,permCAF,0.413168009
IGFBP5,SFRP4,permCAF,Ductal,0.663625219
IGFBP5,SFRP4,restCAF,Ductal,0.508398546
IGFBP5,SFRP4,restCAF,permCAF,0.414983166
IGFBP5,THBS1,Ductal,permCAF,0.402446438
IGFBP5,THBS1,restCAF,permCAF,0.600304778
IGFBP5,TIMP1,Pericyte,Endothelial,0.543304557
IGFBP5,TIMP1,permCAF,Ductal,0.667010625
IGFBP5,TIMP1,restCAF,Ductal,0.517619402
IGFBP5,TMSB4X,Pericyte,Endothelial,0.549571648
IGFBP7,KRT19,Ductal,permCAF,0.716871498
INS,TTR,Endothelial,Pericyte,0.762751956
INS,TTR,Endothelial,permCAF,0.730187533
INS,TTR,Endothelial,restCAF,0.663177713
INS,TTR,Pericyte,Endothelial,0.83267659
INS,TTR,Pericyte,permCAF,0.785648776
INS,TTR,Pericyte,restCAF,0.715663421
INS,TTR,permCAF,Endothelial,0.719118972
INS,TTR,permCAF,Pericyte,0.695641302
INS,TTR,permCAF,restCAF,0.678750136
INS,TTR,restCAF,Endothelial,0.582013322
INS,TTR,restCAF,Pericyte,0.564656471
INS,TTR,restCAF,permCAF,0.618441262
INS,TTR,T,Endothelial,0.41737729
INS,TTR,T,Pericyte,0.405336843
INS,TTR,T,permCAF,0.416537393
ITGA5,PLAU,Ductal,Endothelial,0.748373524
ITGA5,PLAU,Ductal,Macrophage,0.665406417
ITGA5,PLAU,Ductal,Monocyte,0.803339267
ITGA5,PLAU,Ductal,permCAF,0.562376393
ITGA5,PLAU,Monocyte,Ductal,0.402160385
ITGA5,PLAU,permCAF,Ductal,0.642304418
ITGA5,PLAU,permCAF,Endothelial,0.637886094
ITGA5,PLAU,permCAF,Macrophage,0.71829733
ITGA5,PLAU,permCAF,Monocyte,0.594444704
ITGA5,SPP1,Ductal,Macrophage,0.567244675
ITGA5,SPP1,Ductal,Monocyte,0.678799796
ITGA5,SPP1,Ductal,permCAF,0.614716001
ITGA5,SPP1,permCAF,Ductal,0.543898664
ITGA5,SPP1,permCAF,Macrophage,0.562928652
ITGA5,SPP1,permCAF,Monocyte,0.421857272
KRT19,LGALS1,permCAF,Ductal,0.69814161
KRT19,MYL6,permCAF,Ductal,0.704408324
KRT19,PKM,permCAF,Ductal,0.708459899
KRT19,TAGLN,permCAF,Ductal,0.735450149
KRT19,TPM1,permCAF,Ductal,0.733223859
KLRB1,CLEC2D,restCAF,Ductal,0.854388664
LGALS1,TAGLN,permCAF,Ductal,0.714453982
LMNA,MCL1,Pericyte,Endothelial,0.467192689
LMNA,MT-CYB,Pericyte,Endothelial,0.510322826
LMNA,MT-CYB,permCAF,Ductal,0.588970711
LMNA,MT-ND4L,Pericyte,Endothelial,0.524813119
LMNA,S100A6,permCAF,restCAF,0.423167397
LMNA,SERPINE1,permCAF,Ductal,0.552243295
LMNA,SERPINE1,restCAF,Endothelial,0.5939295
LMNA,SFRP4,permCAF,Ductal,0.637851589
LMNA,THBS1,Pericyte,Endothelial,0.403548393
LMNA,THBS1,restCAF,permCAF,0.405741678
LMNA,TIMP1,Pericyte,Endothelial,0.648673576
LMNA,TIMP1,permCAF,Ductal,0.629099137
LMNA,TMSB4X,Pericyte,Endothelial,0.676312468
LRP1,LRPAP1,Ductal,permCAF,0.409660709
LRP1,PLAU,Ductal,Endothelial,0.464944758
LRP1,PLAU,Ductal,Monocyte,0.44790851
LRP1,PLAU,permCAF,Ductal,0.477322903
LRP1,PLAU,permCAF,Endothelial,0.493663815
LRP1,PLAU,permCAF,Macrophage,0.640201445
LRP1,SERPINA1,Ductal,Monocyte,0.443286881
LRP1,SERPINA1,Ductal,permCAF,0.413170396
LRP1,SERPINA1,permCAF,Ductal,0.433443819
